record_id,title,authors,year,venue,publication_type,doi,arxiv_id,source_url,citation_count,citation_date,domain_neurodivergent,domain_education,domain_adaptive,study_type,sample_size,population_type,input_signal,ai_method,prediction_target,evaluation_metrics,quality_rigor,quality_transfer,quality_repro_ethics,decision,decision_reason,dedup_group,reviewer,review_date,notes
R2NE028,EXPLORING CAREER PATHWAYS FOR PEOPLE WITH SPECIAL NEEDS IN STEM AND BEYOND,Catherine Ezeafulukwe; Oluwaseyi Rita Owolabi; Onyeka Franca Asuzu; Somtochukwu Cynthia Onyekwelu; Chinedu Ugochukwu Ike; Binaebi Gloria Bello,2024,International Journal of Applied Research in Social Sciences,journal,10.51594/ijarss.v6i2.780,,https://doi.org/10.51594/ijarss.v6i2.780,20,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE028,,,openalex-round2
R2NE029,Mapping neurodevelopmental diversity in executive function,Silvana Mareva; Lead Investigators; Duncan E. Astle; Kate Baker; Susan E. Gathercole; Joni Holmes; Joni Holmes; Rogier Kievit,2024,Cortex,journal,10.1016/j.cortex.2023.11.021,,https://doi.org/10.1016/j.cortex.2023.11.021,18,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE029,,,openalex-round2
R2NE030,Stimming as Thinking: a Critical Reevaluation of Self-Stimulatory Behavior as an Epistemic Resource for Inclusive Education,Sofia Tancredi; Dor Abrahamson,2024,Educational Psychology Review,journal,10.1007/s10648-024-09904-y,,https://doi.org/10.1007/s10648-024-09904-y,12,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE030,,,openalex-round2
R2NE031,"Perspective Chapter: Rethinking Autism Assessment, Diagnosis, and Intervention within a Neurodevelopmental Pathway Framework",Marion Rutherford; Lorna Johnston,2022,IntechOpen eBooks,journal,10.5772/intechopen.108784,,https://doi.org/10.5772/intechopen.108784,10,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE031,,,openalex-round2
R2NE032,Learning with labyrinths: Neurodivergent journeying towards new concepts of care and creative pedagogy through participatory community autism research,Nicola Shaughnessy,2022,Critical Studies in Teaching and Learning,journal,10.14426/cristal.v10isi.546,,https://doi.org/10.14426/cristal.v10isi.546,9,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE032,,,openalex-round2
R2NE033,Describing the Experiences of Students with ADHD Learning Science Content with Emerging Technologies,Rebecca Hite; Gina Childers; M. Gail Jones; Elysa N. Corin; Mariana Pereyra,2021,Journal of science education for students with disabilities,journal,10.14448/jsesd.13.0012,,https://doi.org/10.14448/jsesd.13.0012,9,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE033,,,openalex-round2
R2NE034,Multidisciplinary Collaboration of English as a Foreign Language and Universal Design for Learning for Neurodivergent Students,Arthurson Devon,2025,Institutional Repositories DataBase (IRDB),journal,,,https://hakuoh.repo.nii.ac.jp/records/2000436,0,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE034,,,openalex-round2
R2NE035,Neurodiversity Positively Predicts Perceived Extraneous Load in Online Learning: A Quantitative Research Study,Anne‐Laure Le Cunff; Vincent Giampietro; Eleanor J. Dommett,2024,Education Sciences,journal,10.3390/educsci14050516,,https://doi.org/10.3390/educsci14050516,8,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE035,,,openalex-round2
R2NE036,Including neurodiversity in computational thinking,Jodi Asbell‐Clarke; Ibrahim Dahlstrom‐Hakki; John Voiklis; Bennett Attaway; Jena Barchas‐Lichtenstein; Teon Edwards; Erin Bardar; Tara Robillard,2024,Frontiers in Education,journal,10.3389/feduc.2024.1358492,,https://doi.org/10.3389/feduc.2024.1358492,7,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE036,,,openalex-round2
R2NE037,“I Saw Things through a Different Lens…”: An Interpretative Phenomenological Study of the Experiences of Autistic Teachers in the Irish Education System,Claire O’Neill; Neil Kenny,2023,Education Sciences,journal,10.3390/educsci13070670,,https://doi.org/10.3390/educsci13070670,15,2026-04-10,1,1,0,,,,,,,,,,,,,R2NE037,,,openalex-round2
